,Absolute Coefficient
const,4.01797470998722
c155,2.0721554742948696
c39,1.3655216811635855
c139,1.0366669660171
c26,0.9570300794230541
c32,0.9132013939353459
c22,0.8012057981762846
c143,0.7995450797002093
c137,0.6816856415559129
c72,0.6016061586424197
c158,0.5913383571720998
c7,0.5587388443765524
c42,0.5517631103242814
c53,0.5425553446030302
c157,0.5161789471231149
c20,0.5093143279682014
c21,0.5007133364722711
c28,0.40185296420801764
c33,0.39390198626105954
c73,0.39236502755714603
c31,0.3720020749874387
c147,0.3482294645991462
c29,0.31020215593764516
c85,0.3056357933642635
c45,0.30377327567352896
c133,0.2736267543380626
c35,0.2598269145035705
c160,0.2585008417239565
c12,0.2501499595326509
c14,0.20505933924560965
c34,0.20474600829196515
c239,0.1995175381084694
c27,0.19726398476784504
c30,0.19362225808886924
c142,0.19256682523416976
c51,0.15721104642179518
c163,0.14472380524575726
c54,0.14375871388994507
c44,0.125530792435824
c36,0.12335652657667157
c11,0.12029144427000989
c238,0.10971129420107305
c10,0.1070971926422722
c176,0.07710421673620245
c177,0.07172154276782702
c8,0.07111482238465301
c161,0.0663745158991503
c37,0.044691931421665734
c63,0.031362587100016354
c162,0.019430652170842742
c156,0.01781067036301715
c52,0.014177245006465979
c146,0.004036800010478658
