,Feature,Importance
12,c155,0.1736302637280319
17,c161,0.09161040107055587
8,c39,0.08942374127456294
15,c158,0.08772912787392444
10,c142,0.06876545145194451
14,c157,0.06721466032787127
6,c32,0.049273576534155615
7,c33,0.042397596357858953
11,c143,0.03949625888255931
19,c163,0.03791824288633494
18,c162,0.03698951536346219
5,c31,0.033747433650428156
4,c30,0.03287565383914094
0,c26,0.03246782337157509
3,c29,0.03028397526297954
9,c139,0.030260305792213147
2,c28,0.02809869219599447
16,c160,0.01534511248835172
1,c27,0.012472167648055072
13,c156,0.0
