,Critical,High,Moderate,Total_Importance
c155,0.07538750285532672,0.07619431944934513,0.10290211032806193,0.2544839326327338
c161,0.021669915269178865,0.06462443853083448,0.08606048971625357,0.17235484351626693
c39,0.017752308686539323,0.05767803489061289,0.04939843798240598,0.12482878155955819
c158,0.027711801774149444,0.04783815405854328,0.037160060582384906,0.11271001641507764
c157,0.008063009654610303,0.04543822081882834,0.052503022921426876,0.10600425339486552
c142,0.01117858360506893,0.03977944423106114,0.04843890260824229,0.09939693044437237
c163,0.02326965239346102,0.013820278233348346,0.02185976343671557,0.05894969406352493
c162,0.0051880737795452206,0.024059929923852048,0.026626702138175633,0.055874705841572905
c32,0.011761542477401996,0.019018567639166217,0.0134063997632324,0.04418650987980061
c31,0.006865058576617459,0.017874443298212323,0.018432455619863834,0.043171957494693616
c143,0.008342200555880076,0.01492429206407924,0.014092503980080846,0.03735899660004016
c33,0.006694905540181436,0.01589520379590607,0.013191927261661409,0.035782036597748916
c26,0.005511599865661433,0.016714165182954516,0.012308871278618929,0.03453463632723488
c29,0.0029686905548436276,0.015885342906446616,0.014217654169104577,0.03307168763039482
c139,0.0029582597422546032,0.010963356665366294,0.009470053216837637,0.023391669624458534
c30,0.002729134947458916,0.010316196308127834,0.008496280456199962,0.02154161171178671
c160,0.0034742211026019916,0.007101921727303328,0.007822457064477529,0.018398599894382847
c28,0.00208161282775658,0.00822349994854776,0.007238212120086467,0.017543324896390808
c27,0.0016002803594373943,0.00435778791605388,0.0034851589532944997,0.009443227228785774
c156,0.0,0.0,0.0,0.0
